Author,Message,Timestamp
ropf,"Hello, BDSA students!",1690891760
rnie,"Welcome to the course!",1690978778
rnie,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487
PhiVa,"hello, hello",1695134454
tienl,test,1695208687
tienl,message,1690891760
tienl,message,1690891760
tienl,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
kirga,message,1690891760
